INFO:root:Using default metrics strategy: MetricsStrategy.DVM
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FEILHHQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FIOI5B3 HTTP/1.1" 200 6978
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBFCWDK HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYFLNIP HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FFIDQSM HTTP/1.1" 200 5886
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FPOMJWW HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FVCLU2S HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTZKQS0 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMADUXO HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSAHFYD HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTEM9JH HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FRFJAJ1 HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FXLRSF0 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F33JJXT HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMBABAL HTTP/1.1" 200 7461
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F05FVSE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMWMWPH HTTP/1.1" 200 7228
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FL0MWHW HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FCVJGK4 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNYADRG HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FOOVIVW HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FXPZZAG HTTP/1.1" 200 7672
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FZSJJ05 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNH9AES HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FPUBRSG HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FRPH1UE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F8DXK6T HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWOH2SJ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FFRJUFL HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUF3Y84 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FZDH093 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUNYFQW HTTP/1.1" 200 8102
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FGQKXEQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FB5XINO HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDXREW6 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FAJOCZH HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBIZZV4 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUXCTPG HTTP/1.1" 200 7744
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTQ0KZJ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FO6AUP6 HTTP/1.1" 200 7801
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTMUPCU HTTP/1.1" 200 7949
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FZEZBKS HTTP/1.1" 200 7417
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNYW4F9 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FIOB4ES HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDE0PUS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FKS35YU HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F1RZESM HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FI3K1IN HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FECWNCT HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FV2GXKZ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSFQT9H HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FL9ESQE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F0SN8JC HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWVYSYH HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FF2BVLU HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FPWLDVE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDSLB3P HTTP/1.1" 200 7242
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYRWROJ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FKKNHUZ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNZWDAN HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYJ8YAT HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYZ667I HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYGX70H HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FCTC01V HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FU8UUV6 HTTP/1.1" 200 7940
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FFMENFU HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FOUYZIN HTTP/1.1" 200 8019
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FFRQDGQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F9QWTYS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBSJDND HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FG7P3RK HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F0J0GQ3 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQ0OAP2 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTB7OM2 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FY4VGEF HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F5PEPSV HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQNJ5XB HTTP/1.1" 200 6460
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBCXZXV HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSIDC0F HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYBBFMP HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWONFKR HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F9EOERV HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWQT7YR HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FOVO340 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FON3S1H HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWEZSL4 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FIHGCOQ HTTP/1.1" 200 7441
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FXLAH3Y HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F3PPO24 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FHYMK53 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FPQCRPQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDD0LEQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F06WDMK HTTP/1.1" 200 7944
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FODT4SW HTTP/1.1" 200 7944
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUV7XAM HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
