hcc,is_chronic,model_version,model_domain
HCC126,Y,V28,CMS-HCC
HCC127,Y,V28,CMS-HCC
HCC128,Y,V28,CMS-HCC
HCC135,Y,V28,CMS-HCC
HCC136,Y,V28,CMS-HCC
HCC137,Y,V28,CMS-HCC
HCC138,Y,V28,CMS-HCC
HCC139,Y,V28,CMS-HCC
HCC140,,V28,CMS-HCC
HCC141,Y,V28,CMS-HCC
HCC142,Y,V28,CMS-HCC
HCC143,Y,V28,CMS-HCC
HCC151,Y,V28,CMS-HCC
HCC152,,V28,CMS-HCC
HCC153,Y,V28,CMS-HCC
HCC154,Y,V28,CMS-HCC
HCC155,Y,V28,CMS-HCC
HCC156,Y,V28,CMS-HCC
HCC157,Y,V28,CMS-HCC
HCC158,,V28,CMS-HCC
HCC159,,V28,CMS-HCC
HCC167,Y,V28,CMS-HCC
HCC168,Y,V28,CMS-HCC
HCC169,Y,V28,CMS-HCC
HCC170,Y,V28,CMS-HCC
HCC171,Y,V28,CMS-HCC
HCC172,Y,V28,CMS-HCC
HCC180,Y,V28,CMS-HCC
HCC181,Y,V28,CMS-HCC
HCC182,Y,V28,CMS-HCC
HCC190,Y,V28,CMS-HCC
HCC191,Y,V28,CMS-HCC
HCC192,Y,V28,CMS-HCC
HCC193,Y,V28,CMS-HCC
HCC194,Y,V28,CMS-HCC
HCC195,Y,V28,CMS-HCC
HCC196,Y,V28,CMS-HCC
HCC197,Y,V28,CMS-HCC
HCC198,Y,V28,CMS-HCC
HCC199,Y,V28,CMS-HCC
HCC200,Y,V28,CMS-HCC
HCC201,Y,V28,CMS-HCC
HCC202,Y,V28,CMS-HCC
HCC203,Y,V28,CMS-HCC
HCC211,Y,V28,CMS-HCC
HCC212,,V28,CMS-HCC
HCC213,,V28,CMS-HCC
HCC221,Y,V28,CMS-HCC
HCC222,Y,V28,CMS-HCC
HCC223,Y,V28,CMS-HCC
HCC224,Y,V28,CMS-HCC
HCC225,Y,V28,CMS-HCC
HCC226,Y,V28,CMS-HCC
HCC227,Y,V28,CMS-HCC
HCC228,Y,V28,CMS-HCC
HCC229,Y,V28,CMS-HCC
HCC230,Y,V28,CMS-HCC
HCC231,Y,V28,CMS-HCC
HCC232,,V28,CMS-HCC
HCC233,Y,V28,CMS-HCC
HCC234,Y,V28,CMS-HCC
HCC235,Y,V28,CMS-HCC
HCC236,Y,V28,CMS-HCC
HCC237,Y,V28,CMS-HCC
HCC238,Y,V28,CMS-HCC
HCC239,Y,V28,CMS-HCC
HCC240,Y,V28,CMS-HCC
HCC248,Y,V28,CMS-HCC
HCC249,Y,V28,CMS-HCC
HCC250,Y,V28,CMS-HCC
HCC251,Y,V28,CMS-HCC
HCC252,Y,V28,CMS-HCC
HCC253,Y,V28,CMS-HCC
HCC254,Y,V28,CMS-HCC
HCC255,Y,V28,CMS-HCC
HCC263,Y,V28,CMS-HCC
HCC264,Y,V28,CMS-HCC
HCC265,Y,V28,CMS-HCC
HCC266,Y,V28,CMS-HCC
HCC267,,V28,CMS-HCC
HCC268,,V28,CMS-HCC
HCC276,Y,V28,CMS-HCC
HCC277,Y,V28,CMS-HCC
HCC278,Y,V28,CMS-HCC
HCC279,Y,V28,CMS-HCC
HCC280,Y,V28,CMS-HCC
HCC281,Y,V28,CMS-HCC
HCC282,,V28,CMS-HCC
HCC283,,V28,CMS-HCC
HCC284,,V28,CMS-HCC
HCC285,,V28,CMS-HCC
HCC286,,V28,CMS-HCC
HCC294,Y,V28,CMS-HCC
HCC295,Y,V28,CMS-HCC
HCC296,,V28,CMS-HCC
HCC297,,V28,CMS-HCC
HCC298,Y,V28,CMS-HCC
HCC299,Y,V28,CMS-HCC
HCC300,Y,V28,CMS-HCC
HCC301,Y,V28,CMS-HCC
HCC302,Y,V28,CMS-HCC
HCC303,Y,V28,CMS-HCC
HCC304,,V28,CMS-HCC
HCC312,,V28,CMS-HCC
HCC313,Y,V28,CMS-HCC
HCC314,,V28,CMS-HCC
HCC322,Y,V28,CMS-HCC
HCC323,Y,V28,CMS-HCC
HCC324,,V28,CMS-HCC
HCC325,,V28,CMS-HCC
HCC326,Y,V28,CMS-HCC
HCC327,Y,V28,CMS-HCC
HCC328,Y,V28,CMS-HCC
HCC329,Y,V28,CMS-HCC
HCC330,Y,V28,CMS-HCC
HCC331,Y,V28,CMS-HCC
HCC332,Y,V28,CMS-HCC
HCC340,,V28,CMS-HCC
HCC341,Y,V28,CMS-HCC
HCC342,,V28,CMS-HCC
HCC343,,V28,CMS-HCC
HCC351,Y,V28,CMS-HCC
HCC352,Y,V28,CMS-HCC
HCC353,Y,V28,CMS-HCC
HCC354,Y,V28,CMS-HCC
HCC362,,V28,CMS-HCC
HCC363,,V28,CMS-HCC
HCC364,,V28,CMS-HCC
HCC365,,V28,CMS-HCC
HCC366,,V28,CMS-HCC
HCC367,,V28,CMS-HCC
HCC368,,V28,CMS-HCC
HCC369,,V28,CMS-HCC
HCC370,,V28,CMS-HCC
HCC371,,V28,CMS-HCC
HCC379,Y,V28,CMS-HCC
HCC380,Y,V28,CMS-HCC
HCC381,Y,V28,CMS-HCC
HCC382,Y,V28,CMS-HCC
HCC383,Y,V28,CMS-HCC
HCC384,,V28,CMS-HCC
HCC385,,V28,CMS-HCC
HCC386,,V28,CMS-HCC
HCC387,Y,V28,CMS-HCC
HCC388,,V28,CMS-HCC
HCC389,,V28,CMS-HCC
HCC397,,V28,CMS-HCC
HCC398,,V28,CMS-HCC
HCC399,,V28,CMS-HCC
HCC400,,V28,CMS-HCC
HCC401,,V28,CMS-HCC
HCC402,,V28,CMS-HCC
HCC403,,V28,CMS-HCC
HCC404,,V28,CMS-HCC
HCC405,,V28,CMS-HCC
HCC406,,V28,CMS-HCC
HCC407,,V28,CMS-HCC
HCC408,,V28,CMS-HCC
HCC409,Y,V28,CMS-HCC
HCC410,Y,V28,CMS-HCC
HCC418,,V28,CMS-HCC
HCC419,,V28,CMS-HCC
HCC420,,V28,CMS-HCC
HCC428,,V28,CMS-HCC
HCC429,,V28,CMS-HCC
HCC430,,V28,CMS-HCC
HCC431,,V28,CMS-HCC
HCC432,,V28,CMS-HCC
HCC440,,V28,CMS-HCC
HCC441,,V28,CMS-HCC
HCC449,Y,V28,CMS-HCC
HCC450,Y,V28,CMS-HCC
HCC451,Y,V28,CMS-HCC
HCC452,Y,V28,CMS-HCC
HCC453,,V28,CMS-HCC
HCC454,Y,V28,CMS-HCC
HCC455,Y,V28,CMS-HCC
HCC463,Y,V28,CMS-HCC
HCC464,,V28,CMS-HCC
HCC465,,V28,CMS-HCC
HCC466,,V28,CMS-HCC
HCC467,,V28,CMS-HCC
HCC468,,V28,CMS-HCC
HCC469,,V28,CMS-HCC
HCC470,,V28,CMS-HCC
HCC471,,V28,CMS-HCC
HCC472,,V28,CMS-HCC
HCC473,,V28,CMS-HCC
HCC474,,V28,CMS-HCC
HCC475,,V28,CMS-HCC
HCC476,,V28,CMS-HCC
HCC484,,V28,CMS-HCC
HCC485,,V28,CMS-HCC
HCC486,,V28,CMS-HCC
HCC487,,V28,CMS-HCC
HCC488,,V28,CMS-HCC
HCC489,,V28,CMS-HCC
